"","Age","WorkExperience","AverageIncome","ProfessionalSpecialization","AveragePages","ActivityScore"
"Age",1,0.535454823498667,0.322495166307225,-0.0675127632394171,0.538495974726754,0.170838192078133
"WorkExperience",0.535454823498667,1,0.241764985431177,0.0771712384631647,0.997060925305893,0.634950308580517
"AverageIncome",0.322495166307225,0.241764985431177,1,0.0545736275303562,0.249330708479844,-0.330036157604299
"ProfessionalSpecialization",-0.0675127632394171,0.0771712384631647,0.0545736275303562,1,0.0848491554283554,0.0114327976435902
"AveragePages",0.538495974726754,0.997060925305893,0.249330708479844,0.0848491554283554,1,0.63809931869912
"ActivityScore",0.170838192078133,0.634950308580517,-0.330036157604299,0.0114327976435902,0.63809931869912,1
